FORWARD_TEXT_FORMAT_1.0
STDEP =   290.0000
ENDEP =  2716.0000
RLEV  =     0.1250
CURVENAME =  RT, RI, RXO, CALI, AC, GR, DEN, CNL, R025, RA2, BZSP, R2M, SP
END
#DEPTH            RT         RI        RXO       CALI         AC         GR        DEN        CNL       R025        RA2       BZSP        R2M         SP
 306.6250       3.764      3.748      0.531    -45.600     97.413      2.206     95.000     87.000      4.113      9.395     -0.432      9.395     -0.432
 306.7500       3.788      3.795      0.526    -45.819    105.197      2.205     84.000     85.000      4.271      8.919     -0.494      8.919     -0.494
 306.8750       3.601      3.826      0.518    -46.071    106.410      2.205     77.000     84.000      4.432      8.562     -0.558      8.562     -0.558
 307.0000       3.677      3.668      0.511    -46.251    103.282      2.205     73.000     82.000      4.559      8.784     -0.607      8.784     -0.607
 307.1250       3.707      3.639      0.513    -46.515    101.856      2.205     74.000     81.000      4.666      9.412     -0.674      9.412     -0.674
 307.2500       3.677      3.602      0.511    -46.782    102.033      2.205     79.000     82.000      4.774      9.891     -0.732      9.891     -0.732
 307.3750       3.639      3.568      0.509    -46.927    102.947      2.205     87.000     84.000      4.835      9.816     -0.764      9.816     -0.764
 307.5000       3.633      3.567      0.510    -46.902    102.762      2.205     89.000     84.000      4.857      9.526     -0.805      9.526     -0.805
 307.6250       3.598      3.538      0.512    -46.876     97.685      2.205     83.000     84.000      4.839      9.468     -0.842      9.468     -0.842
 307.7500       3.641      3.531      0.511    -46.948    103.681      2.205     78.000     83.000      4.726     10.097     -0.848     10.097     -0.848
 307.8750       3.771      3.619      0.509    -46.875    104.761      2.205     79.000     83.000      4.414     11.554     -0.814     11.554     -0.814
 308.0000       3.929      3.722      0.508    -46.668    107.316      2.205     65.000     12.781      4.032     12.451     -0.771     12.451     -0.771
 308.1250       4.045      3.794      0.509    -46.431    109.940      2.205     66.000     12.781      3.842     11.400     -0.729     11.400     -0.729
 308.2500       4.047      3.815      0.513    -46.283    105.277      2.205     67.000     12.781      3.842      8.621     -0.677      8.621     -0.677
 308.3750       3.835      3.596      0.512    -45.899    105.636      2.203     65.000     12.781      3.846      6.243     -0.650      6.243     -0.650
 308.5000       3.613      3.349      0.510    -45.580    102.566      2.203     62.000     12.781      3.813      5.493     -0.637      5.493     -0.637
 308.6250       3.356      3.071      0.511    -45.321    101.316      2.203     61.000     12.781      3.789      5.799     -0.644      5.799     -0.644
 308.7500       3.139      2.856      0.513    -45.263    101.782      2.203     61.000     12.781      3.793      6.320     -0.690      6.320     -0.690
 308.8750       3.033      2.770      0.515    -45.422    101.326      2.203     63.000     12.781      3.803      6.814     -0.795      6.814     -0.795
 309.0000       3.032      2.763      0.513    -45.499     95.121      2.203     64.000     12.781      3.814      7.304     -0.922      7.304     -0.922
 309.1250       2.961      2.665      0.516    -45.701     95.201      2.203     61.000     12.781      3.852      7.771     -1.044      7.771     -1.044
 309.2500       2.928      2.587      0.513    -45.828     95.641      2.203     56.000     12.781      3.914      8.274     -1.172      8.274     -1.172
 309.3750       2.920      2.537      0.513    -45.819     97.212      2.203     59.000     12.781      3.979      8.986     -1.266      8.986     -1.266
 309.5000       2.890      2.489      0.514    -45.733     97.029      2.203     64.000     12.781      4.041      9.788     -1.339      9.788     -1.339
 309.6250       2.806      2.418      0.508    -45.706     91.883      2.203     66.000     12.781      4.103     10.331     -1.380     10.331     -1.380
 309.7500       2.823      2.418      0.506    -45.886     91.371      2.203     67.000     12.781      4.165     10.373     -1.360     10.373     -1.360
 309.8750       2.802      2.366      0.510    -46.225     83.855      2.203     71.000     12.781      4.194     10.074     -1.300     10.074     -1.300
 310.0000       2.765      2.306      0.513    -46.463     83.208      2.203     75.000     12.672      4.165      9.904     -1.207      9.904     -1.207
 310.1250       2.750      2.259      0.513    -46.688     82.031      2.203     77.000     12.672      4.098      9.894     -1.091      9.894     -1.091
 310.2500       2.768      2.230      0.513    -46.964     78.734      2.203     81.000     12.672      4.049      9.735     -0.951      9.735     -0.951
 310.3750       2.765      2.197      0.517    -47.219     86.865      2.203     82.000     12.672      4.035      9.251     -0.808      9.251     -0.808
 310.5000       2.649      2.083      0.512    -47.193     85.531      2.203     84.000     12.672      4.031      8.786     -0.664      8.786     -0.664
 310.6250       2.427      1.938      0.511    -47.127     90.349      2.203     83.000     12.672      4.041      8.575     -0.512      8.575     -0.512
 310.7500       2.176      1.749      0.505    -47.138     92.306      2.203     81.000     12.672      4.077      8.523     -0.378      8.523     -0.378
 310.8750       1.956      1.561      0.496    -47.160     88.563      2.203     79.000     12.672      4.141      8.366     -0.270      8.366     -0.270
 311.0000       1.812      1.435      0.491    -47.060     80.971      2.203     79.000     12.672      4.202      8.106     -0.201      8.106     -0.201
 311.1250       1.770      1.371      0.488    -46.803     76.048      2.203     80.000     12.672      4.206      7.842     -0.165      7.842     -0.165
 311.2500       1.787      1.363      0.491    -46.711     75.625      2.203     87.000     12.672      4.159      7.611     -0.134      7.611     -0.134
 311.3750       1.828      1.388      0.490    -46.404     75.873      2.203     94.000     12.672      4.083      7.410     -0.114      7.410     -0.114
 311.5000       1.851      1.406      0.486    -46.054     75.117      2.203     99.000     12.672      4.002      7.234     -0.113      7.234     -0.113
 311.6250       1.854      1.408      0.485    -45.824     73.365      2.203    103.000     12.672      3.952      7.079     -0.130      7.079     -0.130
 311.7500       1.890      1.425      0.490    -45.754     72.487      2.203    107.000     12.672      3.951      6.943     -0.159      6.943     -0.159
 311.8750       1.939      1.448      0.497    -45.856     75.666      2.203    111.000     12.672      3.996      6.890     -0.182      6.890     -0.182
 312.0000       1.974      1.464      0.503    -45.959     77.548      2.203    113.000     12.555      4.081      6.913     -0.204      6.913     -0.204
 312.1250       2.042      1.500      0.506    -46.031     77.452      2.203    116.000     12.555      4.219      6.909     -0.232      6.909     -0.232
 312.2500       2.125      1.554      0.507    -46.111     75.386      2.203    120.000     12.555      4.420      6.863     -0.293      6.863     -0.293
 312.3750       2.182      1.606      0.513    -46.227     72.804      2.201    123.000     12.555      4.693      7.069     -0.402      7.069     -0.402
 312.5000       2.182      1.610      0.530    -46.278     74.753      2.201    125.000     12.555      5.043      7.786     -0.522      7.786     -0.522
 312.6250       2.171      1.611      0.525    -46.257     77.375      2.201    126.000     12.555      5.515      9.031     -0.666      9.031     -0.666
 312.7500       2.127      1.582      0.515    -46.342     78.457      2.201    128.000     12.555      6.108     10.625     -0.812     10.625     -0.812
 312.8750       2.063      1.541      0.511    -46.586     78.123      2.201    127.000     12.555      6.741     12.397     -0.955     12.397     -0.955
 313.0000       2.025      1.512      0.512    -46.887     78.019      2.201    126.000     12.555      7.283     14.219     -1.086     14.219     -1.086
 313.1250       2.086      1.526      0.506    -47.036     80.772      2.201    124.000     12.555      7.591     16.064     -1.199     16.064     -1.199
 313.2500       2.211      1.626      0.503    -47.113     87.131      2.201    123.000     12.555      7.562     17.933     -1.281     17.933     -1.281
