FORWARD_TEXT_FORMAT_1.0
STDEP =   284.0000
ENDEP =  2717.0000
RLEV  =     0.1250
CURVENAME =  RXO, CALI, RT, RI, AC, GR, DEN, CNL, SP
END
#DEPTH           RXO       CALI         RT         RI         AC         GR        DEN        CNL         SP
 308.0000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     66.222      3.714
 308.1250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     65.759      3.605
 308.2500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     65.874      3.559
 308.3750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     67.408      3.495
 308.5000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     70.221      3.355
 308.6250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     73.733      3.239
 308.7500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     77.084      3.153
 308.8750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     79.401      2.957
 309.0000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     80.714      2.806
 309.1250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     81.316      2.886
 309.2500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     81.576      2.995
 309.3750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     81.501      3.018
 309.5000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     80.722      3.093
 309.6250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     78.891      3.163
 309.7500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     76.041      3.154
 309.8750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     72.739      3.214
 310.0000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     69.905      3.288
 310.1250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     67.997      3.233
 310.2500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     67.002      3.114
 310.3750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     66.589      2.995
 310.5000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     66.291      2.879
 310.6250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     65.994      2.833
 310.7500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     65.654      2.772
 310.8750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     65.239      2.697
 311.0000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     64.840      2.586
 311.1250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     64.609      2.466
 311.2500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     64.846      2.388
 311.3750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     66.081      2.328
 311.5000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     68.256      2.269
 311.6250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     71.034      2.153
 311.7500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     73.808      1.948
 311.8750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     75.483      1.693
 312.0000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     75.219      1.507
 312.1250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     73.303      1.485
 312.2500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     71.511      1.452
 312.3750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     72.525      1.386
 312.5000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     76.749      1.280
 312.6250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     82.932      1.128
 312.7500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     88.804      1.120
 312.8750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     93.321      1.230
 313.0000       0.000      0.000      0.000      0.000      0.000      0.000      0.000    100.758      1.293
 313.1250       0.000      0.000      0.000      0.000      0.000      0.000      0.000    117.002      1.109
 313.2500       0.000      0.000      0.000      0.000      0.000      0.000      0.000    120.988      0.899
 313.3750       0.000      0.000      0.000      0.000      0.000      0.000      0.000    151.502      0.780
 313.5000       0.000      0.000      0.000      0.000      0.000      0.000      0.000    197.811      0.689
 313.6250       0.000      0.000      0.000      0.000      0.000      0.000      0.000    233.732      0.607
 313.7500       0.000      0.000      0.000      0.000      0.000      0.000      0.000    243.216      0.555
 313.8750       0.000      0.000      0.000      0.000      0.000      0.000      0.000    242.556      0.425
 314.0000       0.000      0.000      0.000      0.000      0.000      0.000      0.000    238.230      0.305
 314.1250       0.000      0.000      0.000      0.000      0.000      0.000      0.000    230.383      0.265
 314.2500       0.000      0.000      0.000      0.000      0.000      0.000      0.000    216.359      0.222
 314.3750       0.000      0.000      0.000      0.000      0.000      0.000      0.000    193.957      0.124
 314.5000       0.000      0.000      0.000      0.000      0.000      0.000      0.000    167.891      0.061
 314.6250       0.000      0.000      0.000      0.000      0.000      0.000      0.000    144.101      0.070
 314.7500       0.000      0.000      0.000      0.000      0.000      0.000      0.000    127.772     -0.025
 314.8750       0.000      0.000      0.000      0.000      0.000      0.000      0.000    121.617     -0.119
 315.0000       0.000      0.000      0.000      0.000      0.000      0.000      0.000    120.753     -0.171
 315.1250       0.000      0.000      0.000      0.000      0.000      0.000      0.000    120.299     -0.186
 315.2500       0.000      0.000      0.000      0.000      0.000      0.000      0.000    116.448     -0.245
 315.3750       0.000      0.000      0.000      0.000      0.000      0.000      0.000    106.958     -0.316
 315.5000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     93.967     -0.330
 315.6250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     80.331     -0.363
 315.7500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     68.924     -0.351
 315.8750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     61.903     -0.274
 316.0000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     58.095     -0.293
 316.1250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     56.162     -0.354
 316.2500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     55.250     -0.255
 316.3750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     55.087     -0.181
 316.5000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     55.171     -0.262
 316.6250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     55.328     -0.244
 316.7500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     55.533     -0.214
 316.8750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     55.688     -0.349
 317.0000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     55.823     -0.378
 317.1250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     56.053     -0.246
 317.2500       0.000     12.399     30.136      5.545      0.209      0.300      0.275     56.824     -0.352
 317.3750       0.000     12.398     30.997      5.689      0.209      0.317      0.274     61.255     -0.461
 317.5000       0.000     12.398     31.404      5.818      0.209      0.366      0.271     72.383     -0.341
 317.6250       0.000     12.398     31.344      5.903      0.209      0.436      0.268     91.172     -0.256
 317.7500       0.000     12.399     31.190      5.937      0.209      0.482      0.264    115.460     -0.278
 317.8750       0.000     12.400     31.762      5.933      0.209      0.457      0.262    141.866     -0.202
 318.0000       0.000     12.401     33.359      5.928      0.209      0.410      0.262    167.590     -0.079
 318.1250       0.000     12.401     35.841      5.943      0.209      0.381      0.262    191.739     -0.009
 318.2500       0.000     12.399     38.717      5.979      0.209      0.379      0.262    213.228      0.144
 318.3750       0.000     12.397     41.077      6.009      0.209      0.387      0.260    226.767      0.250
 318.5000       0.000     12.396     42.392      5.992      0.209      0.375      0.259    228.278      0.225
 318.6250       0.000     12.395     42.750      5.907      0.209      0.337      0.260    217.315      0.205
 318.7500       0.000     12.395     42.602      5.778      0.209      0.289      0.263    198.889      0.376
 318.8750       0.000     12.396     42.173      5.684      0.209      0.250      0.264    181.364      0.588
 319.0000       0.000     12.397     41.429      5.694      0.209      0.232      0.259    169.540      0.603
 319.1250       0.000     12.398     40.396      5.818      0.209      0.244      0.251    163.400      0.495
 319.2500       0.000     12.399     39.185      5.998      0.209      0.289      0.243    159.775      0.439
 319.3750       0.000     12.400     37.971      6.122      0.209      0.335      0.242    152.286      0.452
 319.5000       0.000     12.401     36.837      6.124      0.209      0.349      0.248    137.782      0.568
 319.6250       0.000     12.403     35.753      6.008      0.209      0.344      0.259    116.799      0.731
 319.7500       0.000     12.405     34.697      5.839      0.209      0.340      0.270    112.239      0.793
 319.8750       0.000     12.406     33.917      5.715      0.209      0.348      0.275     86.781      0.861
 320.0000       0.000     12.406     33.712      5.683      0.209      0.356      0.274     64.609      1.020
 320.1250       0.000     12.407     34.069      5.737      0.209      0.353      0.271     62.054      1.216
 320.2500       0.000     12.407     34.171      5.753      0.209      0.351      0.270     63.682      1.306
 320.3750       0.000     12.408     34.652      5.860      0.209      0.344      0.265     65.581      1.327
 320.5000       0.000     12.409     34.686      5.901      0.209      0.352      0.262     66.427      1.250
