FORWARD_TEXT_FORMAT_1.0
STDEP =   288.0000
ENDEP =  2717.0000
RLEV  =     0.1250
CURVENAME =  AC, RT, RI, RXO, CALI, DEN, CNL, GR, SP, RA2, R2M, R025, BZSP
END
#DEPTH            AC         RT         RI        RXO       CALI        DEN        CNL         GR         SP        RA2        R2M       R025       BZSP
 296.6250       0.282      0.131      0.256      0.000     12.549     -0.750      0.000      0.000     29.767      0.633      0.633     -0.382     29.767
 296.7500       0.291      0.130      0.324      0.000     12.448     -0.775      0.000      0.000     29.414      0.486      0.486     -0.382     29.414
 296.8750       0.317      0.132      0.178      0.000     12.358     -1.186      0.000      0.000     28.749      0.371      0.371     -0.382     28.749
 297.0000       0.339      0.139      0.199      0.000     12.317     -0.992      0.000      0.000     28.670      0.316      0.316     -0.382     28.670
 297.1250       0.362      0.152      0.312      0.000     12.313     -0.812      0.000      0.000     28.123      0.297      0.297     -0.386     28.123
 297.2500       0.375      0.167      0.381      0.000     12.323     -0.709      0.000      0.000     27.816      0.303      0.303     -0.388     27.816
 297.3750       0.366      0.177      0.313      0.000     12.331     -0.645      0.000      0.000     27.255      0.337      0.337     -0.388     27.255
 297.5000       0.335      0.174      0.177      0.000     12.343     -0.748      0.000      0.000     27.189      0.400      0.400     -0.388     27.189
 297.6250       0.308      0.163      0.151      0.000     12.504     -0.751      0.000      0.000     26.783      0.460      0.460     -0.384     26.783
 297.7500       0.283      0.151      0.145      0.000     12.552     -0.904      0.000      0.000     26.572      0.474      0.474     -0.383     26.572
 297.8750       0.266      0.139      0.163      0.000     12.558     -1.109      0.000      0.000     26.254      0.418      0.418     -0.385     26.254
 298.0000       0.261      0.131      0.275      0.000     12.559     -1.251      0.000      0.000     26.228      0.308      0.308     -0.385     26.228
 298.1250       0.268      0.128      0.522      0.000     12.544     -1.252      0.000      0.000     26.117      0.207      0.207     -0.387     26.117
 298.2500       0.285      0.134      0.392      0.000     12.512     -1.252      0.000      0.000     26.084      0.155      0.155     -0.388     26.084
 298.3750       0.305      0.145      0.256      0.000     12.458     -1.430      0.000      0.000     26.065      0.157      0.157     -0.388     26.065
 298.5000       0.320      0.159      0.169      0.000     12.396     -1.702      0.000      0.000     26.047      0.186      0.186     -0.388     26.047
 298.6250       0.327      0.172      0.183      0.000     12.354     -2.097      0.000      0.000     25.927      0.206      0.206     -0.387     25.927
 298.7500       0.318      0.180      0.294      0.000     12.346     -2.632      0.000      0.000     25.827      0.214      0.214     -0.387     25.827
 298.8750       0.291      0.179      0.403      0.000     12.359     -3.249      0.000      0.000     25.588      0.228      0.228     -0.388     25.588
 299.0000       0.264      0.174      0.211      0.000     12.391     -4.373      0.000      0.000     25.085      0.256      0.256     -0.387     25.085
 299.1250       0.247      0.176      0.151      0.000     12.493     -5.264      0.000      0.000     23.881      0.273      0.273     -0.384     23.881
 299.2500       0.241      0.192      0.225      0.000     12.582     -6.141      0.000      0.000     23.101      0.254      0.254     -0.381     23.101
 299.3750       0.238      0.227      0.318      0.000     12.638     -7.151      0.000      0.000     22.132      0.201      0.201     -0.380     22.132
 299.5000       0.223      0.281      0.293      0.000     12.670     -8.418      0.000      0.000     20.815      0.160      0.160     -0.377     20.815
 299.6250       0.193      0.331      0.241      0.000     12.650    -10.315      0.000      0.000     18.897      0.181      0.181     -0.271     18.897
 299.7500       0.164      0.272      0.232      0.000     12.408    -13.031      0.000      0.000     17.818      0.274      0.274     -0.164     17.818
 299.8750       0.122      0.186      0.207      0.000     12.138    -16.098      0.000      0.000     16.795      0.411      0.411      0.308     16.795
 300.0000       0.096      0.122      0.170      0.000     11.913    -19.047      0.000      0.000     15.675      0.548      0.548      1.221     15.675
 300.1250       0.118      0.118      0.219      0.000     11.775    -21.481      0.000      0.000     14.437      0.655      0.655      2.211     14.437
 300.2500       0.218      0.196      0.552      0.000     11.754    -23.161      0.000      0.000     13.810      0.723      0.723      2.680     13.810
 300.3750       0.487      0.429      1.439      0.000     11.959    -24.186      0.000      0.000     12.889      0.747      0.747      3.069     12.889
 300.5000       1.362      1.115      3.695      0.000     12.056    -24.719      0.000      0.000     12.790      0.705      0.705      3.112     12.790
