FORWARD_TEXT_FORMAT_1.0
STDEP =   2365.810
ENDEP =   2704.000
RLEV  =      0.125
CURVENAME =  AC, C1, C2, CNL, DEN, GR, RI, RT, RXO, SP
END
#DEPTH           AC         C1         C2        CNL        DEN         GR         RI         RT        RXO         SP
2379.310      76.992      8.254      8.209     21.723      2.591    134.937     10.298     10.741     13.556    -17.389
2379.435      78.131      8.257      8.212     21.640      2.594    138.569     10.592     11.108     13.608    -17.429
2379.560      80.128      8.255      8.210     22.419      2.593    135.690     10.389     10.920     13.423    -17.459
2379.685      82.544      8.254      8.211     23.959      2.583    138.327      9.766     10.239     13.338    -17.479
2379.810      84.792      8.255      8.213     25.864      2.564    145.348      8.902      9.308     12.642    -17.487
2379.935      86.246      8.254      8.215     27.571      2.540    152.194      8.032      8.412     10.742    -17.487
2380.060      86.350      8.254      8.227     28.484      2.523    160.601      7.393      7.760      8.342    -17.488
2380.185      84.749      8.251      8.233     27.774      2.515    158.180      7.184      7.555      7.857    -17.491
2380.310      82.529      8.250      8.232     26.291      2.513    155.006      7.289      7.657      8.262    -17.487
2380.435      80.323      8.252      8.228     24.504      2.522    148.253      7.749      8.127      9.245    -17.487
2380.560      78.554      8.253      8.226     22.795      2.542    140.317      8.496      8.918     10.993    -17.493
2380.685      77.432      8.253      8.227     21.459      2.569    134.534      9.395      9.906     13.070    -17.505
2380.810      76.946      8.250      8.227     20.701      2.595    130.902     10.289     10.917     13.310    -17.523
2380.935      77.251      8.250      8.227     20.590      2.608    132.180     10.808     11.456     12.666    -17.565
2381.060      77.868      8.250      8.227     21.047      2.604    137.009     10.863     11.480     12.250    -17.621
2381.185      78.596      8.250      8.227     21.763      2.593    137.197     10.570     11.110     11.739    -17.684
2381.310      79.074      8.250      8.227     22.403      2.584    135.233     10.137     10.588     11.146    -17.759
2381.435      79.016      8.251      8.227     22.667      2.580    135.099      9.777     10.163     10.619    -17.847
2381.560      78.450      8.254      8.227     22.343      2.575    133.081      9.607      9.965     10.234    -17.938
2381.685      77.440      8.251      8.221     21.424      2.572    136.175      9.768     10.148     10.025    -18.018
2381.810      76.696      8.250      8.225     20.560      2.577    131.844     10.088     10.536     10.923    -18.108
2381.935      76.517      8.250      8.227     20.085      2.585    128.965     10.342     10.801     12.285    -18.196
